time,"I(LIP|XI3|XN_05_)"
1.544000e-10,-3.531818e-05
1.546000e-10,-3.513630e-05
1.548000e-10,-3.496422e-05
1.550000e-10,-3.479866e-05
1.552000e-10,-3.463610e-05
1.554000e-10,-3.447249e-05
1.556000e-10,-3.430294e-05
1.558000e-10,-3.412195e-05
1.560000e-10,-3.392399e-05
1.562000e-10,-3.370429e-05
1.564000e-10,-3.345954e-05
1.566000e-10,-3.318805e-05
1.568000e-10,-3.288949e-05
1.570000e-10,-3.256414e-05
1.572000e-10,-3.221213e-05
1.574000e-10,-3.183287e-05
1.576000e-10,-3.142497e-05
1.578000e-10,-3.098644e-05
1.580000e-10,-3.051521e-05
1.582000e-10,-3.000949e-05
1.584000e-10,-2.946799e-05
1.586000e-10,-2.888978e-05
1.588000e-10,-2.827404e-05
1.590000e-10,-2.761979e-05
1.592000e-10,-2.692584e-05
1.594000e-10,-2.619091e-05
1.596000e-10,-2.541389e-05
1.598000e-10,-2.459419e-05
1.600000e-10,-2.373186e-05
1.602000e-10,-2.282769e-05
1.604000e-10,-2.188319e-05
1.606000e-10,-2.090071e-05
1.608000e-10,-1.988378e-05
1.610000e-10,-1.883783e-05
1.612000e-10,-1.777101e-05
1.614000e-10,-1.669510e-05
1.616000e-10,-1.562607e-05
1.618000e-10,-1.458408e-05
1.620000e-10,-1.359284e-05
1.622000e-10,-1.267818e-05
1.624000e-10,-1.186590e-05
1.626000e-10,-1.117925e-05
1.628000e-10,-1.063618e-05
1.630000e-10,-1.024684e-05
1.632000e-10,-1.001169e-05
